langs,neighbour,i
Liberia Kpelle,Shekkacho,10
Limbu,Bantawa,1
Limbu,Paiwan,2
Limbu,Chantyal,3
Limbu,Rade,4
Limbu,Lega-Shabunda,5
Limbu,Tetum,6
Limbu,Thao,7
Limbu,Bolivar-North Chimborazo Highland Quichua,8
Limbu,Tai Nüa,9
Limbu,Fore,10
Lisu,Tai Nüa,1
Lisu,Paiwan,2
Lisu,Akha,3
Lisu,Nung,4
Lisu,Tetum,5
Lisu,Leh Ladakhi,6
Lisu,East-Central Tangkhul Naga,7
Lisu,Western Parbate Kham,8
Lisu,Mara Chin,9
Lisu,Rabha,10
Lithuanian,Hungarian,1
Lithuanian,Serbian-Croatian-Bosnian,2
Lithuanian,Ukrainian,3
Lithuanian,Slovak,4
Lithuanian,Russian,5
Lithuanian,Latvian,6
Lithuanian,Polish,7
Lithuanian,Upper Sorbian,8
Lithuanian,Czech,9
Lithuanian,Georgian,10
Lokono,Guarayu,1
Lokono,Akawaio-Ingariko,2
Lokono,Agusan Manobo,3
Lokono,Temiar,4
Lokono,Iquito,5
Lokono,Warao,6
Lokono,Nyole,7
Lokono,Tetum,8
Lokono,Toaripi,9
Lokono,Nen,10
Lonwolwol,Lenakel,1
Lonwolwol,Mota,2
Lonwolwol,Futuna-Aniwa,3
Lonwolwol,Nafsan,4
Lonwolwol,Aneityum,5
Lonwolwol,Uripiv,6
Lonwolwol,Kwamera,7
Lonwolwol,Daakie,8
Lonwolwol,Raluana,9
Lonwolwol,Paama,10
Lopit,Bongo,1
Lopit,Reel,2
Lopit,Shatt,3
Lopit,Belanda Bor,4
Lopit,Mandari,5
Lopit,Chung,6
Lopit,Bafanji,7
Lopit,Shilluk,8
Lopit,Naro,9
Lopit,Ncane-Mungong,10
Lou,Mele-Fila,1
Lou,Teop,2
Lou,Ata,3
Lou,Gela,4
Lou,Aneityum,5
Lou,Dakaka,6
Lou,Futuna-Aniwa,7
Lou,Yapese,8
Lou,Lau,9
Lou,'Are'are,10
Louisiana Creole French,Pennsylvania German,1
Louisiana Creole French,Atakapa,2
Louisiana Creole French,Koasati,3
Louisiana Creole French,Haitian,4
Louisiana Creole French,Alabama,5
Louisiana Creole French,Mbay,6
Louisiana Creole French,Western Apache,7
Louisiana Creole French,Jicarilla Apache,8
Louisiana Creole French,Havasupai-Walapai-Yavapai,9
Louisiana Creole French,Moroccan Arabic,10
Louisiana French,Plautdietsch,1
Louisiana French,Eastern Yiddish,2
Louisiana French,Spanish,3
Louisiana French,Latin American Spanish,4
Louisiana French,Moselle Franconian,5
Louisiana French,Galician,6
Louisiana French,Norwegian,7
Louisiana French,Afrikaans,8
Louisiana French,Chamorro,9
Louisiana French,Italian,10
Lozi,Southern Sotho,1
Lozi,Venda,2
Lozi,Mambwe-Lungu,3
Lozi,Bemba,4
Lozi,Mbukushu,5
Lozi,Ndonga,6
Lozi,Xhosa,7
Lozi,Ganda,8
Lozi,Tswana,9
Lozi,Ha,10
Lundayeh,Muna,1
Lundayeh,Thao,2
Lundayeh,Baram Kayan,3
Lundayeh,Rongga,4
Lundayeh,Mansaka,5
Lundayeh,Yogad,6
Lundayeh,Iban,7
Lundayeh,Palauan,8
Lundayeh,Mag-Anchi Ayta,9
Lundayeh,Central Bontoc,10
Luo,Shona,1
Luo,Kamba,2
Luo,Ndonga,3
Luo,Iraqw,4
Luo,Central Dagaare,5
Luo,Mbay,6
Luo,Nandi,7
Luo,Karamojong,8
Luo,Southwestern Dinka,9
Luo,Nuer,10
Lycian A,Khwarezmian,1
Lycian A,Classical Nahuatl,2
Lycian A,Ho-Chunk,3
Lycian A,Northeast Maidu,4
Lycian A,Avestan,5
Lycian A,Ute-Southern Paiute,6
Lycian A,Seneca,7
Lycian A,Cherokee,8
Lycian A,Klamath-Modoc,9
Lycian A,Central Carrier,10
Mag-Anchi Ayta,Mansaka,1
Mag-Anchi Ayta,Tboli,2
Mag-Anchi Ayta,Yogad,3
Mag-Anchi Ayta,Arta,4
Mag-Anchi Ayta,Muna,5
Mag-Anchi Ayta,Rongga,6
Mag-Anchi Ayta,Casiguran-Nagtipunan Agta,7
Mag-Anchi Ayta,Thao,8
Mag-Anchi Ayta,Yakan,9
Mag-Anchi Ayta,Doromu-Koki,10
Maguindanao,Iloko,1
Maguindanao,Maranao,2
Maguindanao,Pangasinan,3
Maguindanao,Tausug,4
Maguindanao,Masbatenyo,5
Maguindanao,Yakan,6
Maguindanao,Pampanga,7
Maguindanao,Cebuano,8
Maguindanao,Mapun,9
Maguindanao,Waray,10
Mahasu Pahari,Mundari,1
Mahasu Pahari,Sora,2
Mahasu Pahari,Kashmiri,3
Mahasu Pahari,Manda,4
Mahasu Pahari,Kathmandu Valley Newari,5
Mahasu Pahari,Bondo,6
Mahasu Pahari,Western Panjabi,7
Mahasu Pahari,Dimasa,8
Mahasu Pahari,East-Central Tangkhul Naga,9
Mahasu Pahari,Badaga,10
Mailu,Raluana,1
Mailu,Roviana,2
Mailu,Futuna-Aniwa,3
Mailu,Gela,4
Mailu,Lau,5
Mailu,Aneityum,6
Mailu,'Are'are,7
Mailu,Toaripi,8
Mailu,Arosi,9
Mailu,Tangga,10
Maithili,Kashmiri,1
Maithili,Saurashtra,2
Maithili,Kathmandu Valley Newari,3
Maithili,Telugu,4
Maithili,Tulu,5
Maithili,Hindi,6
Maithili,Kannada,7
Maithili,Sinhala,8
Maithili,Malayalam,9
Maithili,Eastern Panjabi,10
Malacca-Batavia Portuguese Creole,Baba Malay,1
Malacca-Batavia Portuguese Creole,Garifuna,2
Malacca-Batavia Portuguese Creole,Besisi,3
Malacca-Batavia Portuguese Creole,Ladino,4
Malacca-Batavia Portuguese Creole,Urak Lawoi',5
Malacca-Batavia Portuguese Creole,Sembakung Murut,6
Malacca-Batavia Portuguese Creole,Ga,7
Malacca-Batavia Portuguese Creole,Pampanga,8
Malacca-Batavia Portuguese Creole,Wolof,9
Malacca-Batavia Portuguese Creole,Chadian Arabic,10
Malayalam,Kannada,1
Malayalam,Telugu,2
Malayalam,Tamil,3
Malayalam,Bengali,4
Malayalam,Hindi,5
Malayalam,Sanskrit,6
Malayalam,Sinhala,7
Malayalam,Marathi,8
Malayalam,Tulu,9
Malayalam,Pali,10
Malayo,Central Malay,1
Malayo,Western Temne,2
Malayo,Mískito,3
Malayo,Manx,4
Malayo,Mayan,5
Malayo,Lepcha,6
Malayo,Kudmali,7
Malayo,Dzongkha,8
Malayo,Latin,9
Malayo,Scottish Gaelic,10
Malecite-Passamaquoddy,Plains Cree,1
Malecite-Passamaquoddy,Western Abenaki,2
Malecite-Passamaquoddy,Ipai,3
Malecite-Passamaquoddy,Eastern Canadian Inuktitut,4
Malecite-Passamaquoddy,Western Canadian Inuktitut,5
Malecite-Passamaquoddy,Isthmus Zapotec,6
Malecite-Passamaquoddy,Awa,7
Malecite-Passamaquoddy,Western Ojibwa,8
Malecite-Passamaquoddy,Western Apache,9
Malecite-Passamaquoddy,Klamath-Modoc,10
Mali,Nafsan,1
Mali,Äiwoo,2
Mali,Kómnjo,3
Mali,Paama,4
Mali,Talise,5
Mali,Daakie,6
Mali,Sinaugoro,7
Mali,Lenakel,8
Mali,Misima-Paneati,9
Mali,Grass Koiari,10
Mambwe-Lungu,Bemba,1
Mambwe-Lungu,Lozi,2
Mambwe-Lungu,Venda,3
Mambwe-Lungu,Nyanja,4
Mambwe-Lungu,Ndonga,5
Mambwe-Lungu,Mungaka,6
Mambwe-Lungu,Ganda,7
Mambwe-Lungu,Southern Sotho,8
Mambwe-Lungu,Zulu,9
Mambwe-Lungu,Nuer,10
Mampruli,Dagbani,1
Mampruli,Gikyode,2
Mampruli,Anufo,3
Mampruli,Buli,4
Mampruli,Tampulma,5
Mampruli,Mungaka,6
Mampruli,Doromu-Koki,7
Mampruli,Mbay,8
Mampruli,Atayal,9
Mampruli,Western Apache,10
Manda,Mundari,1
Manda,Bondo,2
Manda,Badaga,3
Manda,Sora,4
Manda,Caribbean Hindustani,5
Manda,Saurashtra,6
Manda,Kudmali,7
Manda,Mahasu Pahari,8
Manda,Bantawa,9
Manda,Rabha,10
Mandari,Bongo,1
Mandari,Reel,2
Mandari,Lopit,3
Mandari,Belanda Bor,4
Mandari,Shatt,5
Mandari,Sidamo,6
Mandari,Ha,7
Mandari,Chung,8
Mandari,Shilluk,9
Mandari,Palula,10
Mandarin Chinese,Korean,1
Mandarin Chinese,Vietnamese,2
Mandarin Chinese,Japanese,3
Mandarin Chinese,Min Nan Chinese,4
Mandarin Chinese,Min Dong Chinese,5
Mandarin Chinese,Burmese,6
Mandarin Chinese,Yue Chinese,7
Mandarin Chinese,Filipino,8
Mandarin Chinese,Romanian,9
Mandarin Chinese,Hakka Chinese,10
Mandinka,Gambian Wolof,1
Mandinka,Tumulung Sisaala,2
Mandinka,Pulaar,3
Mandinka,Anufo,4
Mandinka,Gbari,5
Mandinka,Ga,6
Mandinka,Tampulma,7
Mandinka,Buli,8
Mandinka,Central Kanuri,9
Mandinka,Central Dagaare,10
Mangareva,Mota,1
Mangareva,Gilbertese,2
Mangareva,Dehu,3
Mangareva,Futuna-Aniwa,4
Mangareva,Nengone,5
Mangareva,Tuamotuan,6
Mangareva,Rotuman,7
Mangareva,Roviana,8
Mangareva,Arosi,9
Mangareva,Samoan,10
Manipuri,Odia,1
Manipuri,Bodo-Mech,2
Manipuri,Gujarati,3
Manipuri,Assamese,4
Manipuri,Chang Naga,5
Manipuri,Filipino,6
Manipuri,Estonian,7
Manipuri,Mandarin Chinese,8
Manipuri,German,9
Manipuri,Kok Borok,10
Mansaka,Mag-Anchi Ayta,1
Mansaka,Tboli,2
Mansaka,Muna,3
Mansaka,Yogad,4
Mansaka,Casiguran-Nagtipunan Agta,5
Mansaka,Yakan,6
Mansaka,Arta,7
Mansaka,Thao,8
Mansaka,Rongga,9
Mansaka,Lundayeh,10
Manx,Scottish Gaelic,1
Manx,Irish,2
Manx,Welsh,3
Manx,Cornish,4
Manx,Old English,5
Manx,Scots,6
Manx,Latin,7
Manx,Breton,8
Manx,Choctaw,9
Manx,Western Flemish,10
Maori,Tuamotuan,1
Maori,Hawaiian,2
Maori,Niuean,3
Maori,Fijian,4
Maori,Tahitian,5
Maori,Samoan,6
Maori,Tonga,7
Maori,Takuu,8
Maori,Tikopia,9
Maori,Rotuman,10
Mapun,Tausug,1
Mapun,Yakan,2
Mapun,Tboli,3
Mapun,Masbatenyo,4
Mapun,Yogad,5
Mapun,Maguindanao,6
Mapun,Cebuano,7
Mapun,Romblomanon,8
Mapun,Mansaka,9
Mapun,Mag-Anchi Ayta,10
Mara Chin,Mising-Padam-Miri-Minyong,1
Mara Chin,Mizo,2
Mara Chin,East-Central Tangkhul Naga,3
Mara Chin,Dimasa,4
Mara Chin,Southern Jinghpaw,5
Mara Chin,Bobangi,6
Mara Chin,Akha,7
Mara Chin,Lisu,8
Mara Chin,Ndau,9
Mara Chin,Sadri,10
Maranao,Waray,1
Maranao,Maguindanao,2
Maranao,Iloko,3
Maranao,Pangasinan,4
Maranao,Coastal-Naga Bikol,5
Maranao,Masbatenyo,6
Maranao,Chamorro,7
Maranao,Pampanga,8
Maranao,Cebuano,9
Maranao,Lao,10
Marathi,Bengali,1
Marathi,Telugu,2
Marathi,Kannada,3
Marathi,Tamil,4
Marathi,Malayalam,5
Marathi,Sanskrit,6
Marathi,Hindi,7
Marathi,Sinhala,8
Marathi,Assamese,9
Marathi,Kashmiri,10
Marra,Kâte,1
Marra,Yabem,2
Marra,Selepet,3
Marra,Gedaged,4
Marra,Kosarek Yale,5
Marra,Yagaria,6
Marra,Kwaio,7
Marra,Telefol,8
Marra,Arosi,9
Marra,'Are'are,10
Marshallese,Mokilese,1
Marshallese,Chuukese,2
Marshallese,Carolinian,3
Marshallese,Kapingamarangi,4
Marshallese,Puluwatese,5
Marshallese,Woleaian,6
Marshallese,Pohnpeian,7
Marshallese,Yapese,8
Marshallese,Kosraean,9
Marshallese,Palauan,10
Martu Wangka,Adnyamathanha,1
Martu Wangka,Wirangu,2
Martu Wangka,Warlpiri,3
Martu Wangka,Kumbainggar,4
Martu Wangka,Yankunytjatjara,5
Martu Wangka,Tweed-Albert,6
Martu Wangka,Fore,7
Martu Wangka,Jingulu,8
Martu Wangka,Ngaanyatjarra,9
Martu Wangka,Thayore,10
Masai,Borana-Arsi-Guji Oromo,1
Masai,Rendille,2
Masai,Didinga,3
Masai,Sidamo,4
Masai,Iraqw,5
Masai,Pulaar,6
Masai,Karamojong,7
Masai,Nyankole,8
Masai,Tangale,9
Masai,Nandi,10
Masbatenyo,Tausug,1
Masbatenyo,Maguindanao,2
Masbatenyo,Chamorro,3
Masbatenyo,Waray,4
Masbatenyo,Mapun,5
Masbatenyo,Pangasinan,6
Masbatenyo,Pampanga,7
Masbatenyo,Cebuano,8
Masbatenyo,Coastal-Naga Bikol,9
Masbatenyo,Iloko,10
Mayan,Central Tarahumara,1
Mayan,Tzotzil,2
Mayan,K'iche',3
Mayan,Kalispel-Pend d'Oreille,4
Mayan,Mískito,5
Mayan,Cayubaba,6
Mayan,Western Temne,7
Mayan,Western Huasteca Nahuatl,8
Mayan,Bolivar-North Chimborazo Highland Quichua,9
Mayan,Mungaka,10
Mbay,Buli,1
Mbay,Gikyode,2
Mbay,Central Dagaare,3
Mbay,Tumulung Sisaala,4
Mbay,West Central Oromo,5
Mbay,Luo,6
Mbay,Ibibio,7
Mbay,Akawaio-Ingariko,8
Mbay,Anufo,9
Mbay,Gbari,10
Mbukushu,Tswana,1
Mbukushu,Lozi,2
Mbukushu,Xhosa,3
Mbukushu,Lamba,4
Mbukushu,Southern Sotho,5
Mbukushu,Venda,6
Mbukushu,Ganda,7
Mbukushu,Shona,8
Mbukushu,Ndau,9
Mbukushu,Herero,10
Media Lengua,Haitian,1
Media Lengua,Bolivar-North Chimborazo Highland Quichua,2
Media Lengua,Garifuna,3
Media Lengua,Ladino,4
Media Lengua,Chadian Arabic,5
Media Lengua,Yaqui,6
Media Lengua,Papiamento,7
Media Lengua,Western Frisian,8
Media Lengua,K'iche',9
Media Lengua,Tuvinian,10
Mele-Fila,Teop,1
Mele-Fila,Aneityum,2
Mele-Fila,Kwamera,3
Mele-Fila,Dakaka,4
Mele-Fila,Lenakel,5
Mele-Fila,Futuna-Aniwa,6
Mele-Fila,Sie,7
Mele-Fila,Lou,8
Mele-Fila,Nafsan,9
Mele-Fila,Gela,10
Meskwaki,Shoshoni,1
Meskwaki,Havasupai-Walapai-Yavapai,2
Meskwaki,Atakapa,3
Meskwaki,Creek,4
Meskwaki,Coast Miwok,5
Meskwaki,Tonkawa,6
Meskwaki,Alabama,7
Meskwaki,Cahuilla,8
Meskwaki,Upper Chehalis,9
Meskwaki,Koasati,10
Mexican Spanish,Brazilian Portuguese,1
Mexican Spanish,Caló,2
Mexican Spanish,Latin American Spanish,3
Mexican Spanish,Media Lengua,4
Mexican Spanish,Ladino,5
Mexican Spanish,Louisiana French,6
Mexican Spanish,Spanish,7
Mexican Spanish,Chamorro,8
Mexican Spanish,Singlish,9
Mexican Spanish,Coastal-Naga Bikol,10
Mi'kmaq,Dena'ina,1
Mi'kmaq,Central Siberian Yupik,2
Mi'kmaq,Tanacross,3
Mi'kmaq,Kwak'wala,4
Mi'kmaq,Northwest Sahaptin,5
Mi'kmaq,Ahtena,6
Mi'kmaq,Western Abenaki,7
Mi'kmaq,Squamish,8
Mi'kmaq,North Alaskan Inupiatun,9
Mi'kmaq,Aleut,10
Middle Chinese,Beijing Mandarin,1
Middle Chinese,Yue Chinese,2
Middle Chinese,Min Dong Chinese,3
Middle Chinese,Hakka Chinese,4
Middle Chinese,Old Chinese,5
Middle Chinese,Min Nan Chinese,6
Middle Chinese,Halh Mongolian,7
Middle Chinese,Southern Jinghpaw,8
Middle Chinese,Mon,9
Middle Chinese,Javanese,10
Middle High German,Old French,1
Middle High German,Modern Greek,2
Middle High German,Old English,3
Middle High German,Geez,4
Middle High German,Old Norse,5
Middle High German,Dzongkha,6
Middle High German,Latin,7
Middle High German,Javanese,8
Middle High German,Sicilian,9
Middle High German,Goan Konkani,10
Midland American English,Devon,1
Midland American English,Essex,2
Midland American English,Northeast Maidu,3
Midland American English,Moselle Franconian,4
Midland American English,Plautdietsch,5
Midland American English,Eastern Yiddish,6
Midland American English,Ulster,7
Midland American English,South Yorkshire English,8
Midland American English,Pennsylvania German,9
Midland American English,Trinidadian Creole English,10
Min Dong Chinese,Yue Chinese,1
Min Dong Chinese,Hakka Chinese,2
Min Dong Chinese,Min Nan Chinese,3
Min Dong Chinese,Beijing Mandarin,4
Min Dong Chinese,Middle Chinese,5
Min Dong Chinese,Mandarin Chinese,6
Min Dong Chinese,Old Chinese,7
Min Dong Chinese,Halh Mongolian,8
Min Dong Chinese,Javanese,9
Min Dong Chinese,Wu Chinese,10
Min Nan Chinese,Hakka Chinese,1
Min Nan Chinese,Min Dong Chinese,2
Min Nan Chinese,Yue Chinese,3
Min Nan Chinese,Beijing Mandarin,4
Min Nan Chinese,Mandarin Chinese,5
Min Nan Chinese,Middle Chinese,6
Min Nan Chinese,Old Chinese,7
Min Nan Chinese,Wu Chinese,8
Min Nan Chinese,Shan,9
Min Nan Chinese,Tai Nüa,10
Misima-Paneati,Sinaugoro,1
Misima-Paneati,Talise,2
Misima-Paneati,Lenakel,3
Misima-Paneati,Nafsan,4
Misima-Paneati,Grass Koiari,5
Misima-Paneati,Mali,6
Misima-Paneati,Äiwoo,7
Misima-Paneati,Paama,8
Misima-Paneati,To'abaita,9
Misima-Paneati,Mele-Fila,10
Mising-Padam-Miri-Minyong,Mara Chin,1
Mising-Padam-Miri-Minyong,Mizo,2
Mising-Padam-Miri-Minyong,Dimasa,3
Mising-Padam-Miri-Minyong,East-Central Tangkhul Naga,4
Mising-Padam-Miri-Minyong,Southern Jinghpaw,5
Mising-Padam-Miri-Minyong,Akha,6
Mising-Padam-Miri-Minyong,Tetum,7
Mising-Padam-Miri-Minyong,Lepcha,8
Mising-Padam-Miri-Minyong,Baram Kayan,9
Mising-Padam-Miri-Minyong,Rabha,10
Mizo,Mara Chin,1
Mizo,Mising-Padam-Miri-Minyong,2
Mizo,East-Central Tangkhul Naga,3
Mizo,Southern Jinghpaw,4
Mizo,Ao Naga,5
Mizo,Rabha,6
Mizo,Dimasa,7
Mizo,Ho,8
Mizo,Yao,9
Mizo,Baram Kayan,10
Modern Greek,Latin,1
Modern Greek,Old French,2
Modern Greek,Middle High German,3
Modern Greek,Old English,4
Modern Greek,Eastern Armenian,5
Modern Greek,Geez,6
Modern Greek,Welsh,7
Modern Greek,Portuguese,8
Modern Greek,Dzongkha,9
Modern Greek,Old Norse,10
Modern Hebrew,Classical Syriac,1
Modern Hebrew,Tamambo,2
Modern Hebrew,Geez,3
Modern Hebrew,Standard Arabic,4
Modern Hebrew,Ancient Hebrew,5
Modern Hebrew,Neo-Mandaic,6
Modern Hebrew,Eastern Armenian,7
Modern Hebrew,Modern Greek,8
Modern Hebrew,Latin,9
Modern Hebrew,Dzongkha,10
Mokilese,Yapese,1
Mokilese,Kapingamarangi,2
Mokilese,Marshallese,3
Mokilese,Chuukese,4
Mokilese,Pohnpeian,5
Mokilese,Carolinian,6
Mokilese,Kosraean,7
Mokilese,Woleaian,8
Mokilese,Puluwatese,9
Mokilese,Palauan,10
Mon,Shan,1
Mon,Southern Jinghpaw,2
Mon,Tai Nüa,3
Mon,Tai Dón,4
Mon,Mising-Padam-Miri-Minyong,5
Mon,Balinese,6
Mon,Urak Lawoi',7
Mon,Lepcha,8
Mon,Dimasa,9
Mon,Tetum,10
Moroccan Arabic,Gulf Arabic,1
Moroccan Arabic,Sanaani Arabic,2
Moroccan Arabic,Levantine Arabic,3
Moroccan Arabic,Wolof,4
Moroccan Arabic,Gilit Mesopotamian Arabic,5
Moroccan Arabic,Turkmen,6
Moroccan Arabic,Chadian Arabic,7
Moroccan Arabic,Ladino,8
Moroccan Arabic,Aromanian,9
Moroccan Arabic,Haitian,10
Moselle Franconian,Slovenian,1
Moselle Franconian,Eastern Yiddish,2
Moselle Franconian,Finnish,3
Moselle Franconian,Norwegian,4
Moselle Franconian,Afrikaans,5
Moselle Franconian,Danish,6
Moselle Franconian,Hungarian,7
Moselle Franconian,Galician,8
Moselle Franconian,Serbian-Croatian-Bosnian,9
Moselle Franconian,Upper Sorbian,10
Mota,Arosi,1
Mota,Gela,2
Mota,Lau,3
Mota,Futuna-Aniwa,4
Mota,Roviana,5
Mota,'Are'are,6
Mota,Yabem,7
Mota,Aneityum,8
Mota,Mangareva,9
Mota,Gedaged,10
Mudburra,Jingulu,1
Mudburra,Ngalkbun,2
Mudburra,Muruwari,3
Mudburra,Yankunytjatjara,4
Mudburra,Wik-Mungkan,5
Mudburra,Bardi,6
Mudburra,Yandruwandha,7
Mudburra,Kuku-Yalanji,8
Mudburra,Tiwi,9
Mudburra,Ngaanyatjarra,10
Muna,Rongga,1
Muna,Mansaka,2
Muna,Lundayeh,3
Muna,Mag-Anchi Ayta,4
Muna,Yakan,5
Muna,Iban,6
Muna,Yogad,7
Muna,Thao,8
Muna,Larike-Wakasihu,9
Muna,Baram Kayan,10
Mundari,Manda,1
Mundari,Kudmali,2
Mundari,Sora,3
Mundari,Dimasa,4
Mundari,Mahasu Pahari,5
Mundari,Bondo,6
Mundari,Ho,7
Mundari,Sadri,8
Mundari,Western Panjabi,9
Mundari,Southern Jinghpaw,10
Mungaka,Buli,1
Mungaka,Tangale,2
Mungaka,Anufo,3
Mungaka,Tumulung Sisaala,4
Mungaka,Gikyode,5
Mungaka,Ibibio,6
Mungaka,Ewe,7
Mungaka,Mbay,8
Mungaka,Bini,9
Mungaka,Nuer,10
Muruwari,Kuku-Yalanji,1
Muruwari,Mudburra,2
Muruwari,Wik-Mungkan,3
Muruwari,Jingulu,4
Muruwari,Ngalkbun,5
Muruwari,Kumbainggar,6
Muruwari,Bardi,7
Muruwari,Wirangu,8
Muruwari,Yankunytjatjara,9
Muruwari,Tiwi,10
Mushungulu,Yogad,1
Mushungulu,Yeyi,2
Mushungulu,Bulgarian,3
Mushungulu,West Central Oromo,4
Mushungulu,Lundayeh,5
Mushungulu,Pedi,6
Mushungulu,Navajo,7
Mushungulu,Mbay,8
Mushungulu,Mag-Anchi Ayta,9
Mushungulu,Amharic,10
Mwaghavul,Tangale,1
Mwaghavul,Gade,2
Mwaghavul,Goemai,3
Mwaghavul,Lega-Shabunda,4
Mwaghavul,Izon,5
Mwaghavul,Chantyal,6
Mwaghavul,Mungaka,7
Mwaghavul,Liberia Kpelle,8
Mwaghavul,Kxoe,9
Mwaghavul,Igbo,10
Mískito,Garifuna,1
Mískito,East Limba,2
Mískito,Bassa,3
Mískito,Tsonga,4
Mískito,Unami,5
Mískito,Orokolo,6
Mískito,Zigula-Mushungulu,7
Mískito,Ndau,8
Mískito,Western Temne,9
Mískito,Dehu,10
Nafsan,Äiwoo,1
Nafsan,Paama,2
Nafsan,Lenakel,3
Nafsan,Mali,4
Nafsan,Daakie,5
Nafsan,Vurës,6
Nafsan,Sie,7
Nafsan,Misima-Paneati,8
Nafsan,Mele-Fila,9
Nafsan,Teop,10
Nakanai,Kwaio,1
Nakanai,To'abaita,2
Nakanai,Cheke Holo,3
Nakanai,Terei,4
Nakanai,'Are'are,5
Nakanai,Kwamera,6
Nakanai,Lenakel,7
Nakanai,Teop,8
Nakanai,Roviana,9
Nakanai,Rennell-Bellona,10
Nancowry,Central Nicobarese,1
Nancowry,Sa'a,2
Nancowry,Tangga,3
Nancowry,Fijian,4
Nancowry,'Are'are,5
Nancowry,Samoan,6
Nancowry,Yabem,7
Nancowry,Raluana,8
Nancowry,Roviana,9
Nancowry,Gedaged,10
Nandi,Karamojong,1
Nandi,Iraqw,2
Nandi,Luo,3
Nandi,Kamba,4
Nandi,Southwestern Dinka,5
Nandi,Naro,6
Nandi,Kxoe,7
Nandi,Diriku-Shambyu,8
Nandi,East Taa,9
Nandi,Ganda,10
Naro,Karamojong,1
Naro,Nuer,2
Naro,Nandi,3
Naro,Iraqw,4
Naro,Ha,5
Naro,Southern Sotho,6
Naro,Luo,7
Naro,Sidamo,8
Naro,Kxoe,9
Naro,Bantawa,10
Narua,Hmong Njua,1
Narua,Chantyal,2
Narua,Huron-Wyandot,3
Narua,Tai Nüa,4
Narua,Akha,5
Narua,Sango,6
Narua,Louisiana Creole French,7
Narua,Lisu,8
Narua,Hmong Daw,9
Narua,Bambara,10
Navajo,Tohono O'odham,1
Navajo,Havasupai-Walapai-Yavapai,2
Navajo,Jicarilla Apache,3
Navajo,Ahtena,4
Navajo,Northwest Sahaptin,5
Navajo,Comanche,6
Navajo,Alabama,7
Navajo,Kiliwa,8
Navajo,Seneca,9
Navajo,Koasati,10
Ncane-Mungong,Chung,1
Ncane-Mungong,Bafanji,2
Ncane-Mungong,Bassa,3
Ncane-Mungong,Igbo,4
Ncane-Mungong,Shatt,5
Ncane-Mungong,Talinga-Bwisi,6
Ncane-Mungong,Bongo,7
Ncane-Mungong,Fore,8
Ncane-Mungong,Belanda Bor,9
Ncane-Mungong,Central Dagaare,10
Ndau,Zigula-Mushungulu,1
Ndau,Karamojong,2
Ndau,Ha,3
Ndau,Tswana,4
Ndau,Southwestern Dinka,5
Ndau,Tsonga,6
Ndau,Zande,7
Ndau,Kinshasa Lingala,8
Ndau,Ganda,9
Ndau,Lamba,10
Ndonga,Shona,1
Ndonga,Luo,2
Ndonga,Zulu,3
Ndonga,Venda,4
Ndonga,Xhosa,5
Ndonga,Lozi,6
Ndonga,Southern Sotho,7
Ndonga,Santali,8
Ndonga,Mambwe-Lungu,9
Ndonga,Nuer,10
Nen,Kómnjo,1
Nen,Terei,2
Nen,Wampar,3
Nen,Teop,4
Nen,West Kewa,5
Nen,Nakanai,6
Nen,Ata,7
Nen,Mali,8
Nen,Telefol,9
Nen,Sie,10
Nengone,Dehu,1
Nengone,Xârâcùù,2
Nengone,Tiri-Mea,3
Nengone,Futuna-Aniwa,4
Nengone,Lenakel,5
Nengone,Kwamera,6
Nengone,Mele-Fila,7
Nengone,'Are'are,8
Nengone,Mangareva,9
Nengone,Nafsan,10
Neo-Mandaic,Classical Syriac,1
Neo-Mandaic,Ancient Hebrew,2
Neo-Mandaic,Jewish Babylonian Aramaic,3
Neo-Mandaic,Khotanese,4
Neo-Mandaic,Modern Hebrew,5
Neo-Mandaic,Assyrian Neo-Aramaic,6
Neo-Mandaic,Tamambo,7
Neo-Mandaic,Sabaic,8
Neo-Mandaic,Egyptian,9
Neo-Mandaic,Avestan,10
Nepali,Standard Indonesian,1
Nepali,Southern Hindko,2
Nepali,Central Kurdish,3
Nepali,Hindi,4
Nepali,Vietnamese,5
Nepali,Turkmen,6
Nepali,Tibetan,7
Nepali,Central Khmer,8
Nepali,Northern Uzbek,9
Nepali,Eastern Panjabi,10
Nez Perce,Kok Borok,1
Nez Perce,Kalispel-Pend d'Oreille,2
Nez Perce,Northwestern Ojibwa,3
Nez Perce,Chang Naga,4
Nez Perce,Chippewa,5
Nez Perce,Dakota,6
Nez Perce,Herero,7
Nez Perce,Shan,8
Nez Perce,Mbukushu,9
Nez Perce,Yámana,10
Ngaanyatjarra,Yankunytjatjara,1
Ngaanyatjarra,Warlpiri,2
Ngaanyatjarra,Yandruwandha,3
Ngaanyatjarra,Ngalkbun,4
Ngaanyatjarra,Mudburra,5
Ngaanyatjarra,Jingulu,6
Ngaanyatjarra,Wirangu,7
Ngaanyatjarra,Kumbainggar,8
Ngaanyatjarra,Tiwi,9
Ngaanyatjarra,Wik-Mungkan,10
Ngalkbun,Mudburra,1
Ngalkbun,Jingulu,2
Ngalkbun,Yandruwandha,3
Ngalkbun,Tiwi,4
Ngalkbun,Bardi,5
